post_id,conversation_type,total_comments,total_deleted,both_deleted,author_only_deleted,content_only_deleted,active_comments,deletion_percentage,max_depth,thread_title,original_count,filtered_count,removed_count,removal_percentage,original_max_depth,filtered_max_depth,content_filtering_applied,depth_cap_applied,depth_0_total,depth_0_both,depth_0_author,depth_0_content,depth_0_active,depth_1_total,depth_1_both,depth_1_author,depth_1_content,depth_1_active,depth_2_total,depth_2_both,depth_2_author,depth_2_content,depth_2_active,depth_3_total,depth_3_both,depth_3_author,depth_3_content,depth_3_active,depth_4_total,depth_4_both,depth_4_author,depth_4_content,depth_4_active,depth_5_total,depth_5_both,depth_5_author,depth_5_content,depth_5_active,depth_6_total,depth_6_both,depth_6_author,depth_6_content,depth_6_active,depth_7_total,depth_7_both,depth_7_author,depth_7_content,depth_7_active,depth_8_total,depth_8_both,depth_8_author,depth_8_content,depth_8_active,depth_9_total,depth_9_both,depth_9_author,depth_9_content,depth_9_active,depth_10_total,depth_10_both,depth_10_author,depth_10_content,depth_10_active,depth_11_total,depth_11_both,depth_11_author,depth_11_content,depth_11_active,depth_12_total,depth_12_both,depth_12_author,depth_12_content,depth_12_active,depth_13_total,depth_13_both,depth_13_author,depth_13_content,depth_13_active,depth_14_total,depth_14_both,depth_14_author,depth_14_content,depth_14_active,depth_15_total,depth_15_both,depth_15_author,depth_15_content,depth_15_active,depth_16_total,depth_16_both,depth_16_author,depth_16_content,depth_16_active,depth_17_total,depth_17_both,depth_17_author,depth_17_content,depth_17_active,depth_18_total,depth_18_both,depth_18_author,depth_18_content,depth_18_active,depth_19_total,depth_19_both,depth_19_author,depth_19_content,depth_19_active
post22con,controversial,50,0,0,0,0,50,0.0,14,Why the Importance of Diversity in Tech Can’t Be Ignored (Content-Filtered - Full Tree),50,50,0,0.0,14,14,True,False,7,0,0,0,7,8,0,0,0,8,10,0,0,0,10,5,0,0,0,5,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post22tec,technical,32,0,0,0,0,32,0.0,5,Compared performance of vLLM vs SGLang on 2 Nvidia GPUs - SGLang crushes it with Data Parallelism (Content-Filtered - Full Tree),32,32,0,0.0,5,5,True,False,14,0,0,0,14,8,0,0,0,8,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23con,controversial,87,6,0,6,0,81,6.9,5,Will AI solve poverty like issues or just increase inequalities again? (Content-Filtered - Full Tree),89,87,2,2.25,5,5,True,False,42,0,3,0,39,17,0,1,0,16,15,0,1,0,14,5,0,0,0,5,6,0,1,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23tec,technical,81,1,0,1,0,80,1.23,9,"Sliding Window Attention support merged into llama.cpp, dramatically reducing the memory requirements for running Gemma 3 (Content-Filtered - Full Tree)",83,81,2,2.41,9,9,True,False,21,0,0,0,21,12,0,0,0,12,13,0,1,0,12,9,0,0,0,9,9,0,0,0,9,8,0,0,0,8,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post24con,controversial,91,14,0,14,0,77,15.38,11,"Federal study confirms racial bias of many facial-recognition systems, casts doubt on their expanding use (Content-Filtered - Full Tree)",93,91,2,2.15,11,11,True,False,16,0,5,0,11,13,0,2,0,11,14,0,0,0,14,9,0,3,0,6,11,0,0,0,11,6,0,3,0,3,5,0,0,0,5,4,0,1,0,3,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post24tec,technical,45,1,0,1,0,44,2.22,5,Beginner's guide to finetuning Llama 2 and Mistral using QLoRA (Content-Filtered - Full Tree),46,45,1,2.17,5,5,True,False,15,0,1,0,14,13,0,0,0,13,8,0,0,0,8,5,0,0,0,5,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25con,controversial,84,0,0,0,0,84,0.0,9,Your thoughts on AI bias (Content-Filtered - Full Tree),85,84,1,1.18,10,9,True,False,12,0,0,0,12,14,0,0,0,14,14,0,0,0,14,10,0,0,0,10,11,0,0,0,11,8,0,0,0,8,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25tec,technical,33,0,0,0,0,33,0.0,7,Why isn’t QLoRA being used more widely for fine tuning models? (Content-Filtered - Full Tree),33,33,0,0.0,7,7,True,False,7,0,0,0,7,8,0,0,0,8,6,0,0,0,6,5,0,0,0,5,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post26con,controversial,208,4,0,4,0,204,1.92,27,Do you think AI is more likely to worsen or reduce wealth inequality globally? (Content-Filtered - Full Tree),209,208,1,0.48,27,27,True,False,72,0,3,0,69,29,0,1,0,28,36,0,0,0,36,21,0,0,0,21,12,0,0,0,12,9,0,0,0,9,6,0,0,0,6,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
post26tec,technical,26,0,0,0,0,26,0.0,4,[D] List of Large Language Models to play with. (Content-Filtered - Full Tree),26,26,0,0.0,4,4,True,False,11,0,0,0,11,7,0,0,0,7,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post27con,controversial,96,15,0,15,0,81,15.62,10,Rich people know what's coming. The goal of AI is to automate what humans can do. We use it every day without realizing it. (Content-Filtered - Full Tree),96,96,0,0.0,10,10,True,False,26,0,6,0,20,21,0,3,0,18,11,0,2,0,9,7,0,0,0,7,9,0,3,0,6,10,0,0,0,10,5,0,0,0,5,2,0,1,0,1,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post27tec,technical,5,0,0,0,0,5,0.0,1,"Trying to understand Mirostat and Contrastive Search, and their parameters (Content-Filtered - Full Tree)",5,5,0,0.0,1,1,True,False,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post28con,controversial,251,0,0,0,0,251,0.0,27,"CMV: We are close to reaching a critical threshold where most people will soon become economically obsolete in an era of automation and AI — if the economy won't be brought at least partially under collective ownership this will eventually cause mass poverty, even in the West (Content-Filtered - Full Tree)",254,251,3,1.18,27,27,True,False,45,0,0,0,45,25,0,0,0,25,37,0,0,0,37,36,0,0,0,36,27,0,0,0,27,19,0,0,0,19,12,0,0,0,12,12,0,0,0,12,7,0,0,0,7,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1
post28tec,technical,14,0,0,0,0,14,0.0,2,"Confused about temperature, top_k, top_p, repetition_penalty, frequency_penalty, presence_penalty? Me too, until now! (Content-Filtered - Full Tree)",14,14,0,0.0,2,2,True,False,7,0,0,0,7,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post29con,controversial,445,0,0,0,0,445,0.0,12,"Fiverr CEO to employees: ""Here is the unpleasant truth: AI is coming for your jobs. Heck, it's coming for my job too. This is a wake up call."" (Content-Filtered - Full Tree)",452,445,7,1.55,12,12,True,False,124,0,0,0,124,78,0,0,0,78,75,0,0,0,75,62,0,0,0,62,34,0,0,0,34,23,0,0,0,23,18,0,0,0,18,10,0,0,0,10,7,0,0,0,7,7,0,0,0,7,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post29tec,technical,21,0,0,0,0,21,0.0,5,[R] A simple explanation of Reinforcement Learning from Human Feedback (RLHF) (Content-Filtered - Full Tree),21,21,0,0.0,5,5,True,False,4,0,0,0,4,5,0,0,0,5,5,0,0,0,5,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2con,controversial,847,98,0,98,0,749,11.57,12,"Robots With Flawed AI Make Sexist And Racist Decisions, Experiment Shows. ""We're at risk of creating a generation of racist and sexist robots, but people and organizations have decided it's OK to create these products without addressing the issues."" (Content-Filtered - Full Tree)",890,847,43,4.83,14,12,True,False,249,0,32,0,217,124,0,10,0,114,123,0,21,0,102,85,0,9,0,76,78,0,12,0,66,68,0,5,0,63,47,0,5,0,42,33,0,3,0,30,20,0,0,0,20,10,0,1,0,9,5,0,0,0,5,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2tec,technical,18,1,0,1,0,17,5.56,4,"[D] retrieval-augmented generation vs Long-context LLM, are we sure the latter will substitute the first? (Content-Filtered - Full Tree)",18,18,0,0.0,4,4,True,False,4,0,0,0,4,8,0,1,0,7,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
