post_id,conversation_type,total_comments,total_deleted,both_deleted,author_only_deleted,content_only_deleted,active_comments,deletion_percentage,max_depth,thread_title,original_count,filtered_count,removed_count,removal_percentage,original_max_depth,filtered_max_depth,content_filtering_applied,depth_cap_applied,depth_0_total,depth_0_both,depth_0_author,depth_0_content,depth_0_active,depth_1_total,depth_1_both,depth_1_author,depth_1_content,depth_1_active,depth_2_total,depth_2_both,depth_2_author,depth_2_content,depth_2_active,depth_3_total,depth_3_both,depth_3_author,depth_3_content,depth_3_active,depth_4_total,depth_4_both,depth_4_author,depth_4_content,depth_4_active,depth_5_total,depth_5_both,depth_5_author,depth_5_content,depth_5_active,depth_6_total,depth_6_both,depth_6_author,depth_6_content,depth_6_active,depth_7_total,depth_7_both,depth_7_author,depth_7_content,depth_7_active,depth_8_total,depth_8_both,depth_8_author,depth_8_content,depth_8_active,depth_9_total,depth_9_both,depth_9_author,depth_9_content,depth_9_active,depth_10_total,depth_10_both,depth_10_author,depth_10_content,depth_10_active,depth_11_total,depth_11_both,depth_11_author,depth_11_content,depth_11_active,depth_12_total,depth_12_both,depth_12_author,depth_12_content,depth_12_active,depth_13_total,depth_13_both,depth_13_author,depth_13_content,depth_13_active,depth_14_total,depth_14_both,depth_14_author,depth_14_content,depth_14_active,depth_15_total,depth_15_both,depth_15_author,depth_15_content,depth_15_active,depth_16_total,depth_16_both,depth_16_author,depth_16_content,depth_16_active,depth_17_total,depth_17_both,depth_17_author,depth_17_content,depth_17_active,depth_18_total,depth_18_both,depth_18_author,depth_18_content,depth_18_active,depth_19_total,depth_19_both,depth_19_author,depth_19_content,depth_19_active
post18hb,richly branching,549,25,0,25,0,524,4.55,15,Avoid this company: Data Annotation (Content-Filtered - Full Tree),575,549,26,4.52,16,15,True,False,101,0,5,0,96,106,0,2,0,104,101,0,2,0,99,84,0,6,0,78,66,0,2,0,64,44,0,5,0,39,26,0,2,0,24,8,0,0,0,8,3,0,1,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post18lb,poorly branching,67,4,0,4,0,63,5.97,2,Is AI actually replacing anyone's job? (Content-Filtered - Full Tree),73,67,6,8.22,4,2,True,False,46,0,2,0,44,14,0,2,0,12,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post19hb,richly branching,51,0,0,0,0,51,0.0,12,"CMV: OpenAI’s ""ethical AI"" is a myth . Their model is racist, classist, and exploitative (Content-Filtered - Full Tree)",53,51,2,3.77,12,12,True,False,13,0,0,0,13,6,0,0,0,6,8,0,0,0,8,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post1hb,richly branching,400,13,0,13,0,387,3.25,21,AI generates covertly racist decisions about people based on their dialect (Content-Filtered - Full Tree),414,400,14,3.38,21,21,True,False,46,0,5,0,41,65,0,1,0,64,57,0,3,0,54,44,0,0,0,44,40,0,2,0,38,33,0,1,0,32,23,0,1,0,22,16,0,0,0,16,14,0,0,0,14,13,0,0,0,13,8,0,0,0,8,7,0,0,0,7,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2
post1lb,poorly branching,59,10,0,10,0,49,16.95,5,"OpenAI's ChatGPT showed racial bias when screening resumes for jobs, a Bloomberg investigation found, The AI tool over-selected Asian women candidates and under-selected Black men (Content-Filtered - Full Tree)",60,59,1,1.67,5,5,True,False,19,0,3,0,16,25,0,3,0,22,10,0,2,0,8,3,0,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post20hb,richly branching,646,20,0,20,0,626,3.1,8,AI is ruinning our industry (Content-Filtered - Full Tree),657,646,11,1.67,12,8,True,False,311,0,10,0,301,108,0,4,0,104,81,0,2,0,79,67,0,2,0,65,33,0,0,0,33,22,0,1,0,21,14,0,0,0,14,7,0,1,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post20lb,poorly branching,10,0,0,0,0,10,0.0,4,"Why are facial recognition algorithms ""racist""? (Content-Filtered - Full Tree)",11,10,1,9.09,4,4,True,False,2,0,0,0,2,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post21hb,richly branching,373,25,0,25,0,348,6.7,13,OpenAI has removed the diversity commitment web page from its site (Content-Filtered - Full Tree),388,373,15,3.87,13,13,True,False,77,0,4,0,73,78,0,5,0,73,64,0,3,0,61,60,0,5,0,55,32,0,3,0,29,21,0,1,0,20,13,0,2,0,11,7,0,0,0,7,8,0,1,0,7,4,0,0,0,4,4,0,1,0,3,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post21lb,poorly branching,9,1,0,1,0,8,11.11,2,ELI5: How/why does facial recognition have trouble with non-white personnel? (Content-Filtered - Full Tree),9,9,0,0.0,2,2,True,False,4,0,0,0,4,3,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post22hb,richly branching,50,0,0,0,0,50,0.0,14,Why the Importance of Diversity in Tech Can’t Be Ignored (Content-Filtered - Full Tree),50,50,0,0.0,14,14,True,False,7,0,0,0,7,8,0,0,0,8,10,0,0,0,10,5,0,0,0,5,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post22lb,poorly branching,9,1,0,1,0,8,11.11,2,ELI5: How/why does facial recognition have trouble with non-white personnel? (Content-Filtered - Full Tree),9,9,0,0.0,2,2,True,False,4,0,0,0,4,3,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23hb,richly branching,87,6,0,6,0,81,6.9,5,Will AI solve poverty like issues or just increase inequalities again? (Content-Filtered - Full Tree),89,87,2,2.25,5,5,True,False,42,0,3,0,39,17,0,1,0,16,15,0,1,0,14,5,0,0,0,5,6,0,1,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23lb,poorly branching,31,1,0,1,0,30,3.23,2,Is AI actually unbiased until it is taught to have bias?   (Content-Filtered - Full Tree),31,31,0,0.0,2,2,True,False,18,0,0,0,18,9,0,1,0,8,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post24hb,richly branching,91,14,0,14,0,77,15.38,11,"Federal study confirms racial bias of many facial-recognition systems, casts doubt on their expanding use (Content-Filtered - Full Tree)",93,91,2,2.15,11,11,True,False,16,0,5,0,11,13,0,2,0,11,14,0,0,0,14,9,0,3,0,6,11,0,0,0,11,6,0,3,0,3,5,0,0,0,5,4,0,1,0,3,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25hb,richly branching,84,0,0,0,0,84,0.0,9,Your thoughts on AI bias (Content-Filtered - Full Tree),85,84,1,1.18,10,9,True,False,12,0,0,0,12,14,0,0,0,14,14,0,0,0,14,10,0,0,0,10,11,0,0,0,11,8,0,0,0,8,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25lb,poorly branching,18,2,0,2,0,16,11.11,2,Historical context of AI and gender inequality (Content-Filtered - Full Tree),19,18,1,5.26,2,2,True,False,10,0,0,0,10,5,0,2,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post26hb,richly branching,208,4,0,4,0,204,1.92,27,Do you think AI is more likely to worsen or reduce wealth inequality globally? (Content-Filtered - Full Tree),209,208,1,0.48,27,27,True,False,72,0,3,0,69,29,0,1,0,28,36,0,0,0,36,21,0,0,0,21,12,0,0,0,12,9,0,0,0,9,6,0,0,0,6,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
post26lb,poorly branching,16,4,0,4,0,12,25.0,3,AI researchers improve method for removing gender bias in machines built to understand and respond to text or voice data (Content-Filtered - Full Tree),17,16,1,5.88,3,3,True,False,7,0,1,0,6,6,0,1,0,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post27hb,richly branching,96,15,0,15,0,81,15.62,10,Rich people know what's coming. The goal of AI is to automate what humans can do. We use it every day without realizing it. (Content-Filtered - Full Tree),96,96,0,0.0,10,10,True,False,26,0,6,0,20,21,0,3,0,18,11,0,2,0,9,7,0,0,0,7,9,0,3,0,6,10,0,0,0,10,5,0,0,0,5,2,0,1,0,1,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post27lb,poorly branching,14,1,0,1,0,13,7.14,5,"The coming AI ""Economic Crisis"" and the Transition problem (Content-Filtered - Full Tree)",14,14,0,0.0,5,5,True,False,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,1,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post28hb,richly branching,251,0,0,0,0,251,0.0,27,"CMV: We are close to reaching a critical threshold where most people will soon become economically obsolete in an era of automation and AI — if the economy won't be brought at least partially under collective ownership this will eventually cause mass poverty, even in the West (Content-Filtered - Full Tree)",254,251,3,1.18,27,27,True,False,45,0,0,0,45,25,0,0,0,25,37,0,0,0,37,36,0,0,0,36,27,0,0,0,27,19,0,0,0,19,12,0,0,0,12,12,0,0,0,12,7,0,0,0,7,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1
post28lb,poorly branching,24,2,0,2,0,22,8.33,2,What do you do when your current skill set is replaced by AI? (Content-Filtered - Full Tree),25,24,1,4.0,2,2,True,False,16,0,2,0,14,7,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post29hb,richly branching,445,0,0,0,0,445,0.0,12,"Fiverr CEO to employees: ""Here is the unpleasant truth: AI is coming for your jobs. Heck, it's coming for my job too. This is a wake up call."" (Content-Filtered - Full Tree)",452,445,7,1.55,12,12,True,False,124,0,0,0,124,78,0,0,0,78,75,0,0,0,75,62,0,0,0,62,34,0,0,0,34,23,0,0,0,23,18,0,0,0,18,10,0,0,0,10,7,0,0,0,7,7,0,0,0,7,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post29lb,poorly branching,67,4,0,4,0,63,5.97,2,Is AI actually replacing anyone's job? (Content-Filtered - Full Tree),73,67,6,8.22,4,2,True,False,46,0,2,0,44,14,0,2,0,12,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2hb,richly branching,847,98,0,98,0,749,11.57,12,"Robots With Flawed AI Make Sexist And Racist Decisions, Experiment Shows. ""We're at risk of creating a generation of racist and sexist robots, but people and organizations have decided it's OK to create these products without addressing the issues."" (Content-Filtered - Full Tree)",890,847,43,4.83,14,12,True,False,249,0,32,0,217,124,0,10,0,114,123,0,21,0,102,85,0,9,0,76,78,0,12,0,66,68,0,5,0,63,47,0,5,0,42,33,0,3,0,30,20,0,0,0,20,10,0,1,0,9,5,0,0,0,5,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2lb,poorly branching,36,0,0,0,0,36,0.0,5,"As of March 2025, who do you think will win AI race? (Content-Filtered - Full Tree)",37,36,1,2.7,5,5,True,False,16,0,0,0,16,13,0,0,0,13,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post30hb,richly branching,44,2,0,2,0,42,4.55,6,"CMV: Diversity, Equity, and Inclusion hiring and business practices in the workplace are wholly insufficient because neurodiversity and physique are not explicitly taken into account (Content-Filtered - Full Tree)",45,44,1,2.22,6,6,True,False,15,0,2,0,13,9,0,0,0,9,8,0,0,0,8,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post30lb,poorly branching,44,12,0,12,0,32,27.27,6,Google’s hidden AI diversity prompts lead to outcry over historically inaccurate images (Content-Filtered - Full Tree),55,44,11,20.0,12,6,True,False,14,0,4,0,10,11,0,5,0,6,8,0,2,0,6,5,0,1,0,4,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post31hb,richly branching,172,3,0,3,0,169,1.74,8,"Google tells employees why it’s ending diversity, equity, and inclusion (DEI) hiring goals (Content-Filtered - Full Tree)",176,172,4,2.27,8,8,True,False,54,0,1,0,53,45,0,2,0,43,31,0,0,0,31,20,0,0,0,20,8,0,0,0,8,7,0,0,0,7,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
