Post ID,Conversation Type,Post Title,Total Replies,Maximum Depth,Active Subtrees,Avg Subtree Size,Max Subtree Size,Avg Subtree Depth,Total Duration (hours),Time to 80% Engagement (hours),Time to 90% Engagement (hours),Subtrees Stabilize (hours),Max Depth Stabilize (hours),Replies at 1h,Replies at 2h,Replies at 6h,Replies at 12h,Replies at 24h,Max Depth at 6h,Max Depth at 12h,Active Subtrees at 6h,Active Subtrees at 12h,Avg Subtree Size at 6h,Avg Subtree Size at 12h,Max Subtree Size at 6h,Max Subtree Size at 12h
post21lb,poorly branching,ELI5: How/why does facial recognition have trouble with non-white personnel?,9,3,4,2.25,5,1.75,18,8,18,8,6,2,4,7,8,0,3,3,3,4,2.3333333333333335,2.0,4,4
post22hb,richly branching,Why the Importance of Diversity in Tech Can’t Be Ignored,50,15,7,7.142857142857143,31,4.285714285714286,48,4,12,6,2,23,30,44,45,47,15,15,7,7,6.285714285714286,6.428571428571429,31,31
post22lb,poorly branching,ELI5: How/why does facial recognition have trouble with non-white personnel?,9,3,4,2.25,5,1.75,18,8,18,8,6,2,4,7,8,0,3,3,3,4,2.3333333333333335,2.0,4,4
post23hb,richly branching,Will AI solve poverty like issues or just increase inequalities again?,89,6,42,2.119047619047619,25,1.4761904761904763,48,24,48,36,8,9,28,44,59,77,5,6,20,28,2.2,2.107142857142857,22,23
post23lb,poorly branching,Is AI actually unbiased until it is taught to have bias?  ,31,3,18,1.7222222222222223,7,1.3333333333333333,48,36,36,48,8,1,4,10,19,24,2,3,7,12,1.4285714285714286,1.5833333333333333,2,4
post24hb,richly branching,"Federal study confirms racial bias of many facial-recognition systems, casts doubt on their expanding use",93,12,12,7.75,52,3.3333333333333335,48,18,36,8,8,1,8,27,69,78,5,12,10,11,2.7,6.2727272727272725,7,37
post25hb,richly branching,Your thoughts on AI bias,85,11,12,7.083333333333333,39,4.083333333333333,32,12,,18,4,17,41,62,70,76,11,11,10,10,6.2,7.0,38,38
post25lb,poorly branching,Historical context of AI and gender inequality,19,3,10,1.9,7,1.5,48,36,48,36,18,0,0,1,3,13,1,1,1,3,1.0,1.0,1,1
post26hb,richly branching,Do you think AI is more likely to worsen or reduce wealth inequality globally?,209,28,72,2.9027777777777777,37,2.0694444444444446,48,48,,36,,44,63,84,110,147,8,8,27,45,3.111111111111111,2.4444444444444446,29,32
post26lb,poorly branching,AI researchers improve method for removing gender bias in machines built to understand and respond to text or voice data,17,4,7,2.4285714285714284,5,2.0,48,36,48,36,48,2,3,6,9,11,2,3,4,5,1.5,1.8,3,3
post27hb,richly branching,Rich people know what's coming. The goal of AI is to automate what humans can do. We use it every day without realizing it.,96,11,26,3.6923076923076925,34,2.3076923076923075,48,24,36,18,48,3,12,39,69,81,6,9,14,21,2.7857142857142856,3.2857142857142856,9,23
post27lb,poorly branching,"The coming AI ""Economic Crisis"" and the Transition problem",14,6,3,4.666666666666667,12,2.6666666666666665,48,,,8,,2,2,2,4,6,1,2,2,3,1.0,1.3333333333333333,1,2
post28hb,richly branching,"CMV: We are close to reaching a critical threshold where most people will soon become economically obsolete in an era of automation and AI — if the economy won't be brought at least partially under collective ownership this will eventually cause mass poverty, even in the West",254,28,43,5.906976744186046,86,2.558139534883721,48,24,36,36,48,58,88,148,173,219,11,11,20,29,7.4,5.9655172413793105,50,52
post28lb,poorly branching,What do you do when your current skill set is replaced by AI?,25,3,16,1.5625,4,1.4375,32,8,18,24,4,2,4,14,22,24,3,3,10,13,1.4,1.6923076923076923,3,4
post29hb,richly branching,"Fiverr CEO to employees: ""Here is the unpleasant truth: AI is coming for your jobs. Heck, it's coming for my job too. This is a wake up call.""",452,13,107,4.224299065420561,156,1.5981308411214954,48,48,,,12,15,27,123,220,311,11,13,27,49,4.555555555555555,4.489795918367347,48,59
post29lb,poorly branching,Is AI actually replacing anyone's job?,73,5,46,1.5869565217391304,6,1.4565217391304348,3,,,,2,40,58,0,0,0,0,0,0,0,0,0,0,0
post2hb,richly branching,"Robots With Flawed AI Make Sexist And Racist Decisions, Experiment Shows. ""We're at risk of creating a generation of racist and sexist robots, but people and organizations have decided it's OK to create these products without addressing the issues.""",890,15,250,3.56,452,1.464,48,18,24,18,8,20,55,127,609,832,11,15,56,175,2.267857142857143,3.48,57,339
post2lb,poorly branching,"As of March 2025, who do you think will win AI race?",37,6,16,2.3125,6,2.1875,48,48,48,,48,0,0,0,0,8,0,0,0,0,0,0,0,0
post30hb,richly branching,"CMV: Diversity, Equity, and Inclusion hiring and business practices in the workplace are wholly insufficient because neurodiversity and physique are not explicitly taken into account",45,7,15,3.0,12,2.6,27,2,6,6,4,28,36,41,44,44,7,7,14,15,2.9285714285714284,2.933333333333333,11,12
post30lb,poorly branching,Google’s hidden AI diversity prompts lead to outcry over historically inaccurate images,55,13,14,3.9285714285714284,13,3.2857142857142856,46,24,,24,,3,3,9,26,44,3,5,7,9,1.2857142857142858,2.888888888888889,3,7
post31hb,richly branching,"Google tells employees why it’s ending diversity, equity, and inclusion (DEI) hiring goals",176,9,54,3.259259259259259,42,1.7962962962962963,48,24,,24,24,11,31,77,108,143,5,7,34,43,2.264705882352941,2.511627906976744,21,32
post31lb,poorly branching,[R] academic survey about diversity in AI development/research teams,25,18,3,8.333333333333334,22,7.0,18,12,18,4,18,2,3,12,22,0,6,16,3,3,4.0,7.333333333333333,10,20
post32hb,richly branching,AI Is Detaining Sex Workers at the Border—and You’re Next,73,9,22,3.3181818181818183,32,1.8181818181818181,48,,,,,2,13,35,46,52,7,7,9,14,3.888888888888889,3.2857142857142856,14,16
post32lb,poorly branching,"Google Is Helping the Trump Administration Deploy AI Along the Mexican Border | Google is part of a Customs and Border Protection plan to use machine learning for surveillance, documents reviewed by The Intercept reveal",20,4,9,2.2222222222222223,11,1.4444444444444444,48,24,24,18,24,1,2,10,12,18,2,2,6,8,1.6666666666666667,1.5,5,5
post33hb,richly branching,"Once jobs are automated, what will be the point of immigration?",370,13,101,3.6633663366336635,77,2.01980198019802,48,18,24,18,24,54,104,227,289,351,8,10,55,76,4.127272727272727,3.8026315789473686,41,56
post33lb,poorly branching,"Will AI be able to clarify, correct, or overturn common religious beliefs, doctrines and writings?",65,6,41,1.5853658536585367,6,1.5365853658536586,48,,,,,1,6,23,31,44,5,5,17,23,1.3529411764705883,1.3478260869565217,5,5
post34hb,richly branching,There is no need for immigration when AI is about to destroy hundreds of Millions of Jobs.,399,16,100,3.99,35,2.79,48,48,,36,48,7,37,141,216,255,9,9,49,69,2.877551020408163,3.130434782608696,16,19
post34lb,poorly branching,What's your view on AI religion?,107,10,48,2.2291666666666665,23,1.8125,48,18,36,36,12,3,8,36,75,96,6,10,23,32,1.565217391304348,2.34375,7,16
post35hb,richly branching,How do CBP officers check phones at port of entry,70,10,14,5.0,31,3.142857142857143,48,24,36,36,24,9,10,23,47,61,5,8,5,10,4.6,4.7,13,21
post35lb,poorly branching,Exploring the Intersection of AI and Religion: Can Artificial Intelligence Enhance Spirituality?,17,5,8,2.125,5,2.125,26,18,18,12,,9,10,11,12,16,3,3,7,8,1.5714285714285714,1.5,3,3
post36hb,richly branching,Will AI solve poverty like issues or just increase inequalities again?,89,6,42,2.119047619047619,25,1.4761904761904763,48,24,48,36,8,9,28,44,59,77,5,6,20,28,2.2,2.107142857142857,22,23
post36lb,poorly branching,Thoughts on AI as a Christian?,71,6,44,1.6136363636363635,6,1.4772727272727273,48,12,18,18,18,9,17,47,59,67,5,5,29,36,1.6206896551724137,1.6388888888888888,5,6
post37hb,richly branching,Google urges US to update immigration rules to attract more AI talent,94,6,34,2.764705882352941,28,2.0588235294117645,48,24,48,24,4,3,12,36,56,78,6,6,14,26,2.5714285714285716,2.1538461538461537,12,15
post37lb,poorly branching,How did we become so polarized?,159,17,51,3.1176470588235294,68,1.8431372549019607,48,24,24,18,24,31,55,103,124,147,10,12,41,44,2.5121951219512195,2.8181818181818183,34,52
post38lb,poorly branching,meta has resumed research on real time facial ID in their AI glasses,40,6,17,2.3529411764705883,9,1.9411764705882353,33,12,18,,18,2,10,22,35,37,4,5,11,14,2.0,2.5,7,9
post39hb,richly branching,"CMV: Political polarization and job loss from AI are the greatest threats facing our American Republic in the coming years, but this could be turned around with a bipartisan, grassroots push to link UBI adoption with AI & robotics.",24,8,5,4.8,8,4.4,4,4,4,4,4,4,10,0,0,0,0,0,0,0,0,0,0,0
post39lb,poorly branching,Overlooked: Big Privacy Risk in AI-Enabled Devices,35,8,10,3.5,14,2.8,13,6,8,6,2,7,18,29,34,0,8,8,9,10,3.2222222222222223,3.4,14,14
post3hb,richly branching,"As AI tools get smarter, they’re growing more covertly racist, experts find",453,26,75,6.04,131,2.2666666666666666,48,36,48,36,48,10,24,104,186,350,7,12,29,43,3.586206896551724,4.325581395348837,29,47
post40hb,richly branching,Replacing Politicians with AI May Be the Only Path to Ending Political Chaos and Bias,117,14,64,1.828125,19,1.578125,48,12,18,12,36,22,40,64,103,110,8,8,44,59,1.4545454545454546,1.7457627118644068,14,19
post41hb,richly branching,Will advances in artificial intelligence make Liberal democracy obsolete?,52,11,13,4.0,15,3.3076923076923075,48,48,,,48,1,1,1,3,16,1,1,1,3,1.0,1.0,1,1
post42hb,richly branching,Unbiased AI analysis towards 2024 Elections,30,8,9,3.3333333333333335,9,3.111111111111111,45,24,24,12,,4,7,16,19,28,5,5,8,9,2.0,2.111111111111111,5,5
post44hb,richly branching,Question about AI  surveillance and 4th amendment ,33,8,6,5.5,14,4.166666666666667,26,4,6,2,2,15,23,30,31,32,8,8,6,6,5.0,5.166666666666667,14,14
post45hb,richly branching,AI is ruining education,165,12,49,3.36734693877551,33,2.2448979591836733,48,,,,,0,1,19,52,98,3,6,12,24,1.5833333333333333,2.1666666666666665,5,11
post45lb,poorly branching,AI recognition of patient race in medical imaging: a modelling study,21,7,6,3.5,9,2.5,36,12,24,36,36,2,8,13,17,19,4,6,3,3,4.333333333333333,5.666666666666667,7,8
post46hb,richly branching,Is AI (Chat GTP) going to make education better or worse?,106,16,30,3.533333333333333,38,2.433333333333333,48,36,,24,36,5,8,22,55,82,5,11,14,22,1.5714285714285714,2.5,5,17
post46lb,poorly branching,"Nearly 80% of women’s jobs could be disrupted, automated by AI - And it's relevant for an Independent Woman who practices 4B",22,4,9,2.4444444444444446,7,2.0,48,,,,,3,3,7,9,13,2,3,5,5,1.4,1.8,3,4
post47hb,richly branching,AI generates covertly racist decisions about people based on their dialect,414,22,46,9.0,193,3.217391304347826,48,12,24,18,4,43,96,228,340,387,22,22,28,39,8.142857142857142,8.717948717948717,102,152
post47lb,poorly branching,What Engineers Should Know About AI Jobs in 2025,15,6,5,3.0,8,2.4,16,12,,12,4,3,4,10,13,0,6,6,3,5,3.3333333333333335,2.6,7,7
post48hb,richly branching,AI Can Predict People's Race From X-Ray Images,100,13,17,5.882352941176471,51,2.6470588235294117,47,12,18,24,18,13,47,72,85,97,8,8,13,15,5.538461538461538,5.666666666666667,41,45
post48lb,poorly branching,WorldCon backs down on using AI after massive backlash.,88,12,13,6.769230769230769,30,3.230769230769231,48,24,,36,24,14,22,42,56,72,11,11,9,10,4.666666666666667,5.6,22,23
post49hb,richly branching,"Racist, Sexist Robots: Prejudice in AI",38,10,6,6.333333333333333,17,4.5,48,,,,,1,5,13,17,21,4,6,4,4,3.25,4.25,9,12
post49lb,poorly branching,The War of AI : 2025,33,5,8,4.125,9,2.75,48,24,48,24,4,4,9,22,25,27,5,5,7,7,3.142857142857143,3.5714285714285716,9,9
post4hb,richly branching,AI makes racist decisions based on dialect | Large language models strongly associated negative stereotypes with African American English,361,18,57,6.333333333333333,103,2.719298245614035,48,12,18,24,12,32,105,245,315,356,13,18,39,45,6.282051282051282,7.0,89,98
post50hb,richly branching,"AI can predict people's race from X-Ray images, and scientists are concerned",2858,25,500,5.716,870,1.876,48,18,36,24,8,42,149,844,1799,2567,13,25,168,327,5.023809523809524,5.5015290519877675,280,531
post50lb,poorly branching,AI Agents Crash Course: What You Need to Know in 2025,42,6,28,1.5,8,1.3928571428571428,48,,,,48,3,5,11,16,27,2,2,9,14,1.2222222222222223,1.1428571428571428,2,2
post51hb,richly branching,AI is able to distinguish race based solely on chest x-ray imagery. Human doctors are not able to do the same. The linked article is entirely about hand wringing over whether AIs may be secretly racist even if humans do not give explicit racial information.,169,18,19,8.894736842105264,66,4.2105263157894735,48,,,36,,7,9,34,45,95,7,7,11,13,3.090909090909091,3.4615384615384617,11,14
post51lb,poorly branching,"Homeland Security is testing AI to help with immigration, trafficking investigations, and disaster relief",13,6,7,1.8571428571428572,6,1.8571428571428572,47,36,36,2,,7,8,8,8,10,2,2,7,7,1.1428571428571428,1.1428571428571428,2,2
post52hb,richly branching,Anons on AI,155,12,28,5.535714285714286,50,2.5714285714285716,48,18,36,18,12,7,18,72,116,132,7,12,19,25,3.789473684210526,4.64,22,38
post52lb,poorly branching,What are your thoughts on recent reports about CBP increasing secondary screenings and using AI to analyze travelers’ digital activity?,18,5,7,2.5714285714285716,6,2.4285714285714284,48,24,,,18,1,1,3,9,16,1,3,3,5,1.0,1.8,1,3
post53hb,richly branching,[D] Ethical concerns for ML to predict race & gender,87,13,23,3.782608695652174,24,2.5217391304347827,48,,,36,,0,4,15,29,41,5,6,11,14,1.3636363636363635,2.0714285714285716,5,11
post53lb,poorly branching,"The future of work - the gig economy, artificial intelligence",28,8,4,7.0,20,3.75,48,36,36,8,6,1,4,16,19,21,8,8,2,4,8.0,4.75,15,16
post54hb,richly branching,"One of the most cited AI models used to scan chest x-rays doesn’t accurately detect potentially life-threatening diseases in women & Black people. Black women fell to the bottom, with the AI not detecting disease in half of them for conditions such as cardiomegaly, or enlargement of the heart.",221,15,27,8.185185185185185,122,2.7777777777777777,48,18,24,24,4,30,61,115,161,203,15,15,17,23,6.764705882352941,7.0,80,98
post54lb,poorly branching,AI Surveillance & Privacy: Can They Coexist?,10,7,1,10.0,10,7.0,48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
post55hb,richly branching,"AI Can Guess Your Race Based On X-Rays, and Researchers Don't Know How",166,11,23,7.217391304347826,46,2.9130434782608696,48,36,,24,48,7,19,48,86,129,6,7,11,16,4.363636363636363,5.375,22,33
post55lb,poorly branching,"Is AI sexist? And if so, how?",34,8,10,3.4,10,2.8,48,18,24,12,12,9,11,19,27,32,7,8,6,9,3.1666666666666665,3.0,9,10
post56hb,richly branching,"AI can tell your race from an X-ray image — and scientists can't figure out how. Large research team taught AI program to read scans, and it outwitted them",220,11,55,4.0,59,2.4,48,18,24,18,18,9,27,46,102,202,5,9,21,39,2.1904761904761907,2.6153846153846154,10,23
post57hb,richly branching,"In an age where hiring is becoming increasingly automated, every single LLM was found to have very strong gender preferences when asked to pick identical resumes with only a gender difference (for ALL jobs)",163,8,12,13.583333333333334,44,4.5,48,18,36,18,4,15,29,84,122,142,8,8,8,9,10.5,13.555555555555555,25,31
post58hb,richly branching,0-500 Days HRT & AI Gender Analysis,39,5,17,2.2941176470588234,9,1.8235294117647058,48,18,48,18,18,4,5,13,24,35,2,4,8,12,1.625,2.0,3,5
post59hb,richly branching,How Apple Fell Behind in the AI Arms Race,122,7,31,3.935483870967742,44,2.032258064516129,48,18,36,24,8,3,8,41,80,108,5,7,12,22,3.4166666666666665,3.6363636363636362,23,34
post5hb,richly branching,Facial recognition can't tell black and brown people apart - but the police are using it anyway,1316,18,304,4.328947368421052,296,1.7203947368421053,48,18,24,18,,23,38,494,868,1238,16,16,124,219,3.9838709677419355,3.963470319634703,115,181
post5lb,poorly branching,Racial bias in facial recognition technology the focus of bill introduced by Rep. Lawrence,12,8,3,4.0,9,3.6666666666666665,8,8,8,1,8,7,8,9,0,0,5,0,3,0,3.0,0,6,0
post6hb,richly branching,The Ethics of Policing Algorithms,104,12,12,8.666666666666666,55,3.3333333333333335,32,12,18,18,24,4,9,74,89,101,10,10,10,10,7.4,8.9,38,49
post6lb,poorly branching,"Algorithm predicts crime a week in advance, but reveals bias in police response",25,6,7,3.5714285714285716,15,2.2857142857142856,29,24,24,,24,3,4,7,7,24,5,5,2,2,3.5,3.5,6,6
post7hb,richly branching,I research Algorithmic Bias at Harvard. Racialized algorithms are destructive to black lives. AMA!,110,7,44,2.5,13,2.227272727272727,48,12,18,48,18,17,39,75,89,101,6,6,32,34,2.34375,2.6176470588235294,6,8
post7lb,poorly branching,GenderBench - Evaluation suite for gender biases in LLMs,3,3,1,3.0,3,3.0,48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
post8hb,richly branching,This AI [gendered]. Never thought of it before.,251,10,126,1.992063492063492,30,1.4365079365079365,48,18,24,24,48,2,5,49,151,227,4,8,24,78,2.0416666666666665,1.935897435897436,5,17
post8lb,poorly branching,What gender do you assign to your AI assistant? ,59,9,26,2.269230769230769,14,1.8846153846153846,23,6,8,8,6,3,11,50,56,0,9,9,22,26,2.272727272727273,2.1538461538461537,12,14
post9hb,richly branching,Why is nobody here talking about creating datasets?,90,6,31,2.903225806451613,25,1.967741935483871,48,24,36,24,12,4,12,22,46,77,4,6,15,23,1.4666666666666666,2.0,4,15
post9lb,poorly branching,Thoughts about gender bias in voice assistants?,15,7,6,2.5,7,2.5,39,,,18,,0,1,1,5,9,1,1,1,5,1.0,1.0,1,1
